project_name,bug_number,granularity,technique,crashing,predicate,mutable_bug,percentage_of_mutants_on_ground_truth,experiment_time_seconds,e_inspect,is_bug_localized,exam_score,java_exam_score,output_length,cumulative_distance,cumulative_distance2,sv_comp_overall_score
fastapi,10,Statement,Ochiai,0,0,0,0.0,9.676014184951782,6.0,1,0.0015860428231562252,0.0015860428231562252,476,6.0,1.0039386842665534,-3.0039386842665534
fastapi,11,Statement,Ochiai,1,0,0,0.0,2.027017116546631,1369.3333333333333,0,0.36408756536382164,-1,173,0,0,-5.135926105979582
fastapi,12,Statement,Ochiai,0,0,0,0.0,3.7883567810058594,1.0,1,0.00028050490883590464,0.00028050490883590464,349,1.0,1.0,-3.0
fastapi,14,Statement,Ochiai,0,0,0,0.0,6.0734312534332275,870.75,0,0.3292060491493384,-1,279,0,0,-8.902173913043478
fastapi,16,Statement,Ochiai,1,1,1,66.66666666666666,0.7255284786224365,1.0,1,0.00039416633819471815,0.00039416633819471815,42,1.0,1.0,-3.0
sanic,1,Statement,Ochiai,0,0,0,0.0,293.60652709007263,4.5,1,0.0003387278885961611,0.0003387278885961611,2181,4.5,1.2309631432545203,-3.2309631432545203
sanic,3,Statement,Ochiai,0,1,1,5.88235294117647,284.4683532714844,17.5,1,0.0012862918044836457,0.0012862918044836457,1991,27.52384196185286,8.109673024523161,-5.109673024523161
sanic,4,Statement,Ochiai,0,1,1,0.2004008016032064,47.88449215888977,18.5,1,0.0013499708114419148,0.0013499708114419148,1310,25.0,5.0,-7.0
tornado,1,Statement,Ochiai,0,0,1,0.11689070718877849,78.14776730537415,1.0,1,5.662514156285391e-05,5.662514156285391e-05,2658,1.0,1.0,-3.0
tornado,5,Statement,Ochiai,0,1,1,27.397260273972602,2001.7016625404358,3.3333333333333335,1,0.00018432500184325002,0.00018432500184325002,4608,3.3333333333333335,1.0204415372035978,-3.020441537203598
tornado,6,Statement,Ochiai,0,0,0,0.0,1777.4389777183533,6841.5,0,0.3787576814482644,-1,4597,66.91094771241829,10.59109477124183,-3.085375816993464
tornado,8,Statement,Ochiai,0,0,0,0.0,45.8743679523468,294.5,1,0.016863261566651397,0.016863261566651397,2641,0,0,-5.614608555286521
fastapi,1,Statement,DStar,0,1,1,16.129032258064516,40.023441553115845,4.666666666666666,1,0.0010458688181682353,0.0010458688181682353,1250,4.666666666666666,1.0174165457184325,-3.0174165457184325
fastapi,2,Statement,DStar,0,0,0,0.0,7.2961249351501465,2551.0,0,0.5727436012572968,-1,647,106.47325933400606,12.266846058975222,-4.266846058975221
fastapi,3,Statement,DStar,1,1,1,5.172413793103448,12.749234676361084,4.5,1,0.001016719385449616,0.001016719385449616,660,4.5,1.005267214799589,-3.0052672147995887
fastapi,4,Statement,DStar,0,0,0,0.0,1.8506519794464111,121.0,1,0.027418989349648766,0.027418989349648766,371,0,0,-7.734559912476152
fastapi,5,Statement,DStar,0,0,0,0.0,1.5185177326202393,2380.0,0,0.5398049444318439,-1,350,0,0,-10.130434782608695
fastapi,6,Statement,DStar,0,1,1,1.8518518518518516,1.0297150611877441,69.0,1,0.01567469332121763,0.01567469332121763,137,0,0,-7.709186169011965
fastapi,7,Statement,DStar,1,0,0,0.0,2.0202980041503906,3.5,1,0.0008149010477299185,0.0008149010477299185,368,3.5,4.507246376811595,-6.507246376811595
fastapi,9,Statement,DStar,0,1,0,0.0,1.2646007537841797,831.8333333333334,0,0.21919191919191922,-1,239,0,0,-11.14032273216699
fastapi,10,Statement,DStar,0,0,0,0.0,9.676014184951782,6.0,1,0.0015860428231562252,0.0015860428231562252,476,6.0,1.0039386842665534,-3.0039386842665534
fastapi,11,Statement,DStar,1,0,0,0.0,2.027017116546631,1369.3333333333333,0,0.36408756536382164,-1,173,0,0,-5.135926105979582
fastapi,12,Statement,DStar,0,0,0,0.0,3.7883567810058594,1.0,1,0.00028050490883590464,0.00028050490883590464,349,1.0,1.0,-3.0
fastapi,14,Statement,DStar,0,0,0,0.0,6.0734312534332275,870.75,0,0.3292060491493384,-1,279,0,0,-8.902173913043478
fastapi,16,Statement,DStar,1,1,1,66.66666666666666,0.7255284786224365,1.0,1,0.00039416633819471815,0.00039416633819471815,42,1.0,1.0,-3.0
sanic,1,Statement,DStar,0,0,0,0.0,293.60652709007263,4.5,1,0.0003387278885961611,0.0003387278885961611,2181,4.5,1.2309631432545203,-3.2309631432545203
sanic,3,Statement,DStar,0,1,1,5.88235294117647,284.4683532714844,17.5,1,0.0012862918044836457,0.0012862918044836457,1991,27.52384196185286,8.109673024523161,-5.109673024523161
sanic,4,Statement,DStar,0,1,1,0.2004008016032064,47.88449215888977,18.5,1,0.0013499708114419148,0.0013499708114419148,1310,25.0,5.0,-7.0
tornado,1,Statement,DStar,0,0,1,0.11689070718877849,78.14776730537415,1.0,1,5.662514156285391e-05,5.662514156285391e-05,2658,1.0,1.0,-3.0
tornado,5,Statement,DStar,0,1,1,27.397260273972602,2001.7016625404358,3.3333333333333335,1,0.00018432500184325002,0.00018432500184325002,4608,3.3333333333333335,1.0204415372035978,-3.020441537203598
tornado,6,Statement,DStar,0,0,0,0.0,1777.4389777183533,6841.5,0,0.3787576814482644,-1,4597,66.91094771241829,10.59109477124183,-3.085375816993464
tornado,8,Statement,DStar,0,0,0,0.0,45.8743679523468,294.5,1,0.016863261566651397,0.016863261566651397,2641,0,0,-5.614608555286521
fastapi,1,Statement,Metallaxis,0,1,1,16.129032258064516,967.2091643810272,1.0,1,0.00022411474675033618,0.00022411474675033618,18,1.0,1.0,-3.0
fastapi,2,Statement,Metallaxis,0,0,0,0.0,1173.8808906078339,2238.5,0,0.5025819488100584,-1,22,273.2391523713421,51.29717457114026,-4.297174571140262
fastapi,3,Statement,Metallaxis,1,1,1,5.172413793103448,1301.428593158722,2.666666666666667,1,0.0006025003765627354,0.0006025003765627354,23,2.666666666666667,2.8599324621935103,-4.859932462193511
fastapi,4,Statement,Metallaxis,0,0,0,0.0,457.368346452713,2245.0,0,0.5087242238839792,-1,76,0,0,-6.405418348498324
fastapi,5,Statement,Metallaxis,0,0,0,0.0,324.2960829734802,2229.5,0,0.5056702200045362,-1,49,50.0,8.157894736842104,-10.157894736842104
fastapi,6,Statement,Metallaxis,0,1,1,1.8518518518518516,361.4668378829956,9.0,1,0.002044525215810995,0.002044525215810995,44,9.0,5.785400242571255,-7.785400242571255
fastapi,7,Statement,Metallaxis,1,0,0,0.0,323.9393322467804,1451.3333333333333,0,0.33791230112533954,-1,29,22.5,9.375,-11.375
fastapi,9,Statement,Metallaxis,0,1,0,0.0,427.9466383457184,686.8333333333334,0,0.18098375054896795,-1,65,0,0,-12.0
fastapi,10,Statement,Metallaxis,0,0,0,0.0,889.5487492084503,1283.3333333333333,0,0.33923693717508147,-1,33,84.00175644028103,16.003512880562063,-3.003512880562061
fastapi,11,Statement,Metallaxis,1,0,0,0.0,587.9990510940552,1286.6666666666667,0,0.34210759549765135,-1,49,0,0,-8.64847757284732
fastapi,12,Statement,Metallaxis,0,0,0,0.0,452.6882300376892,726.8,0,0.20387096774193547,-1,17,43.11724137931034,11.607523510971786,-3.0068965517241377
fastapi,14,Statement,Metallaxis,0,0,0,0.0,409.0861096382141,708.75,0,0.2679584120982987,-1,63,0,0,-8.25
fastapi,16,Statement,Metallaxis,1,1,1,66.66666666666666,14.806779384613037,1.0,1,0.00039416633819471815,0.00039416633819471815,2,1.0,1.0,-3.0
