Entity,Score
fastapi/dependencies/utils.py::get_flat_dependant::154::183,1.0
fastapi/applications.py::__call__::136::142,0.0
fastapi/applications.py::openapi::81::91,0.0
fastapi/encoders.py::jsonable_encoder::30::159,0.0
fastapi/openapi/utils.py::get_openapi_operation_parameters::92::110,0.0
fastapi/openapi/utils.py::generate_operation_id::132::136,0.0
fastapi/openapi/utils.py::generate_operation_summary::139::142,0.0
fastapi/openapi/utils.py::get_openapi_operation_metadata::145::155,0.0
fastapi/openapi/utils.py::get_openapi_path::158::268,0.0
fastapi/openapi/utils.py::get_openapi::271::311,0.0
fastapi/openapi/utils.py::get_openapi_params::67::74,0.0
fastapi/openapi/utils.py::get_openapi_security_definitions::77::89,0.0
fastapi/utils.py::get_flat_models_from_routes::46::68,0.0
fastapi/utils.py::get_model_definitions::71::82,0.0
