Entity,Score
spacy/__init__.py::28,0.0
spacy/compat.py::171,0.0
spacy/compat.py::181,0.0
spacy/lang/en/lex_attrs.py::48,0.0
spacy/lang/en/lex_attrs.py::49,0.0
spacy/lang/en/lex_attrs.py::51,0.0
spacy/lang/en/lex_attrs.py::52,0.0
spacy/lang/en/lex_attrs.py::53,0.0
spacy/lang/en/lex_attrs.py::55,0.0
spacy/lang/en/lex_attrs.py::57,0.0
spacy/lang/en/lex_attrs.py::59,0.0
spacy/lang/lex_attrs.py::114,0.0
spacy/lang/lex_attrs.py::115,0.0
spacy/lang/lex_attrs.py::116,0.0
spacy/lang/lex_attrs.py::127,0.0
spacy/lang/lex_attrs.py::129,0.0
spacy/lang/lex_attrs.py::131,0.0
spacy/lang/lex_attrs.py::132,0.0
spacy/lang/lex_attrs.py::133,0.0
spacy/lang/lex_attrs.py::136,0.0
spacy/lang/lex_attrs.py::137,0.0
spacy/lang/lex_attrs.py::138,0.0
spacy/lang/lex_attrs.py::139,0.0
spacy/lang/lex_attrs.py::141,0.0
spacy/lang/lex_attrs.py::142,0.0
spacy/lang/lex_attrs.py::143,0.0
spacy/lang/lex_attrs.py::145,0.0
spacy/lang/lex_attrs.py::147,0.0
spacy/lang/lex_attrs.py::151,0.0
spacy/lang/lex_attrs.py::156,0.0
spacy/lang/lex_attrs.py::157,0.0
spacy/lang/lex_attrs.py::158,0.0
spacy/lang/lex_attrs.py::159,0.0
spacy/lang/lex_attrs.py::167,0.0
spacy/lang/lex_attrs.py::168,0.0
spacy/lang/lex_attrs.py::170,0.0
spacy/lang/lex_attrs.py::172,0.0
spacy/lang/lex_attrs.py::186,0.0
spacy/lang/lex_attrs.py::190,0.0
spacy/lang/lex_attrs.py::222,0.0
spacy/lang/lex_attrs.py::226,0.0
spacy/lang/lex_attrs.py::28,0.0
spacy/lang/lex_attrs.py::29,0.0
spacy/lang/lex_attrs.py::30,0.0
spacy/lang/lex_attrs.py::31,0.0
spacy/lang/lex_attrs.py::35,0.0
spacy/lang/lex_attrs.py::36,0.0
spacy/lang/lex_attrs.py::37,0.0
spacy/lang/lex_attrs.py::38,0.0
spacy/language.py::1065,0.0
spacy/language.py::1067,0.0
spacy/language.py::1074,0.0
spacy/language.py::1076,0.0
spacy/language.py::1077,0.0
spacy/language.py::1078,0.0
spacy/language.py::167,0.0
spacy/language.py::170,0.0
spacy/language.py::176,0.0
spacy/language.py::190,0.0
spacy/language.py::258,0.0
spacy/language.py::270,0.0
spacy/language.py::271,0.0
spacy/language.py::283,0.0
spacy/language.py::284,0.0
spacy/language.py::297,0.0
spacy/language.py::324,0.0
spacy/language.py::329,0.0
spacy/language.py::331,0.0
spacy/language.py::333,0.0
spacy/language.py::335,0.0
spacy/language.py::337,0.0
spacy/language.py::352,0.0
spacy/language.py::49,0.0
spacy/language.py::56,0.0
spacy/language.py::57,0.0
spacy/language.py::62,0.0
spacy/language.py::80,0.0
spacy/language.py::81,0.0
spacy/language.py::899,0.0
spacy/language.py::90,0.0
spacy/language.py::910,0.0
spacy/language.py::911,0.0
spacy/language.py::913,0.0
spacy/language.py::915,0.0
spacy/language.py::932,0.0
spacy/language.py::940,0.0
spacy/language.py::944,0.0
spacy/language.py::945,0.0
spacy/language.py::947,0.0
spacy/language.py::952,0.0
spacy/language.py::96,0.0
spacy/lemmatizer.py::30,0.0
spacy/lemmatizer.py::44,0.0
spacy/lookups.py::135,0.0
spacy/lookups.py::153,0.0
spacy/lookups.py::154,0.0
spacy/lookups.py::77,0.0
spacy/util.py::102,0.0
spacy/util.py::125,0.0
spacy/util.py::161,0.0
spacy/util.py::163,0.0
spacy/util.py::194,0.0
spacy/util.py::204,0.0
spacy/util.py::206,0.0
spacy/util.py::208,0.0
spacy/util.py::209,0.0
spacy/util.py::241,0.0
spacy/util.py::243,0.0
spacy/util.py::244,0.0
spacy/util.py::247,0.0
spacy/util.py::248,0.0
spacy/util.py::298,0.0
spacy/util.py::362,0.0
spacy/util.py::407,0.0
spacy/util.py::625,0.0
spacy/util.py::627,0.0
spacy/util.py::634,0.0
spacy/util.py::636,0.0
spacy/util.py::643,0.0
spacy/util.py::645,0.0
spacy/util.py::647,0.0
spacy/util.py::648,0.0
spacy/util.py::654,0.0
spacy/util.py::656,0.0
spacy/util.py::657,0.0
spacy/util.py::750,0.0
spacy/util.py::751,0.0
spacy/util.py::99,0.0
